Year,Units,Age,Types of skills,Regions,Value
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,46.6
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,71.3
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,8.0
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,9.3
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,12.5
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,14.4
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Zhambyl,8.7
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Zhambyl,14.7
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Zhambyl,19.5
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Zhambyl,24.3
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,16.8
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,22.8
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,20.6
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,21.4
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Zhambyl,6.1
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Zhambyl,16.7
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Zhambyl,23.0
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Zhambyl,15.7
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Zhambyl,1.3
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Zhambyl,5.4
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Zhambyl,6.3
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Zhambyl,8.3
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Karagandy,17.1
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Karagandy,51.9
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Karagandy,49.4
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Karagandy,50.1
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,31.4
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,29.0
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,38.7
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,35.3
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,52.3
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,70.3
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,80.2
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,90.2
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,36.2
