Year,Units,Age,Types of skills,Regions,Value
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Nur-Sultan city,37.2
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Nur-Sultan city,19.5
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Nur-Sultan city,64.6
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Nur-Sultan city,10.2
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Nur-Sultan city,28.1
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Almaty city,58.3
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Almaty city,21.9
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Almaty city,28.4
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Almaty city,23.6
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,14.4
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,11.2
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,20.6
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty city,14.9
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,42.3
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,48.7
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,368.9
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty city,85.2
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,22.1
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,37.8
2017,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,33.9
2018,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,54.0
2015,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty city,4.8
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty city,16.5
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Almaty city,16.6
