Year,Units,Экономикалық қызмет түрлері,Өңірлер,Жынысы,Жасы,Value
2019,пайыз,всего,,ерлер,,1229.204307294979
2019,пайыз,"ауыл, орман және балық шаруашылығы",,ерлер,,610.000568231281
2019,пайыз,өнеркәсіп,,ерлер,,1543.4976307892787
2019,пайыз,құрылыс,,ерлер,,1734.7124532951846
2019,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,ерлер,,1171.7964677194245
2019,пайыз,көлік және жинақтау,,ерлер,,1295.8879195307907
2019,пайыз,тұру және тамақтану бойынша қызмет көрсету,,ерлер,,1134.4001181231004
2019,пайыз,ақпарат және байланыс,,ерлер,,1658.1334061969278
2019,пайыз,қаржы және сақтандыру қызметі,,ерлер,,3113.0005897172205
2019,пайыз,жылжымайтын мүлікпен операциялар,,ерлер,,1158.0522078177814
2019,пайыз,"Профессиональная, научная и техническая деятельность",,ерлер,,2107.5472400022154
2019,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,ерлер,,1047.5689550058084
2019,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,ерлер,,814.4934334409834
2019,пайыз,Білім беру,,ерлер,,687.0967564208071
2019,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,ерлер,,783.7272285284782
2019,пайыз,"өнер, ойын-сауық және демалыс",,ерлер,,865.2562258750103
2019,пайыз,қызметтердің басқа түрлерін ұсыну,,ерлер,,2135.0941293684405
2019,пайыз,всего,,әйелдер,,842.3060860861607
2019,пайыз,"ауыл, орман және балық шаруашылығы",,әйелдер,,571.3196213693568
2019,пайыз,өнеркәсіп,,әйелдер,,1193.6776231977112
2019,пайыз,құрылыс,,әйелдер,,1453.383926167544
2019,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,әйелдер,,1030.0811013617667
2019,пайыз,көлік және жинақтау,,әйелдер,,1050.7664642291932
2019,пайыз,тұру және тамақтану бойынша қызмет көрсету,,әйелдер,,858.984520094798
2019,пайыз,ақпарат және байланыс,,әйелдер,,1459.3438471846246
2019,пайыз,қаржы және сақтандыру қызметі,,әйелдер,,1853.595043687413
2019,пайыз,жылжымайтын мүлікпен операциялар,,әйелдер,,1085.3767534172503
2019,пайыз,"Профессиональная, научная и техническая деятельность",,әйелдер,,1513.8463735208222
2019,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,әйелдер,,1077.3218314373428
2019,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,әйелдер,,685.2812554108455
2019,пайыз,Білім беру,,әйелдер,,670.2556115190943
2019,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,әйелдер,,663.1198583215952
2019,пайыз,"өнер, ойын-сауық және демалыс",,әйелдер,,572.770170654832
2019,пайыз,қызметтердің басқа түрлерін ұсыну,,әйелдер,,1520.1029757986025
