Year,Units,Көлік түрлері,Өңірлер,GeoCode,Value
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,232.4
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,251.3
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,282.1
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,298.1
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,335.5
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,367.5
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,397.4
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,60.2
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,73.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,81.5
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,85.5
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,85.5
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,85.3
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,84.8
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,88.8
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,89.3
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,1337.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,1800.5
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2149.9
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2257.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2262.5
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2347.4
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2478.5
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2607.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,798.3
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1044.1
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1166.3
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1194.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1195.6
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1240.8
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1244.5
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1225.0
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1234.0
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,365.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,453.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,470.7
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,492.8
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,496.1
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,495.2
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,506.8
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,501.6
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,507.4
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Түркістан,,820.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1272.7
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1419.3
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1459.9
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1606.7
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1654.2
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1681.0
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1705.2
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1709.2
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1714.9
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1408.9
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1647.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1750.1
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1961.0
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2180.3
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2279.0
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2441.1
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2558.0
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,2595.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,3190.6
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,3802.8
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4238.8
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4808.6
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4984.8
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4984.2
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,5097.2
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,5202.4
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шымкент қаласы,,1808.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,19.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,20.5
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,24.4
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,28.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,23.2
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,22.5
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,23.1
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,22.9
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Өңірлер бойынша таралмаған мөлшер,,22.8
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,1971.8
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,2475.5
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,2718.4
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,2983.4
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3129.1
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3174.0
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3180.7
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3322.3
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,,,3422.3
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,95.8
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,112.4
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,112.6
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,121.5
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,121.3
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,120.3
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,113.1
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,116.1
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақмола,,126.5
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,41.0
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,54.5
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,58.1
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,62.2
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,63.6
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,70.1
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,76.3
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,76.8
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Ақтөбе,,79.1
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,116.6
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,142.7
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,158.1
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,159.0
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,159.9
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,167.2
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,179.0
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,181.1
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы,,184.5
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,52.1
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,71.5
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,72.4
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,82.6
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,82.1
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,75.7
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,75.0
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,75.9
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Атырау,,59.9
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,30.0
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,33.8
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,35.7
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,38.8
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,39.9
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,39.5
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,39.4
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,39.3
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Батыс Қазақстан,,39.5
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,56.0
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,70.5
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,80.4
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,88.4
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,88.9
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,91.3
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,91.3
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,100.1
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Жамбыл,,103.5
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,444.0
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,551.1
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,619.7
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,676.7
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,719.2
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,709.9
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,727.5
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,795.5
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қарағанды,,825.6
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,221.5
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,268.0
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,275.6
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,299.7
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,297.3
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,294.9
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,277.3
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,291.5
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қостанай,,297.1
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,66.3
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,95.5
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,98.4
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,106.1
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,107.2
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,108.7
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,104.3
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,104.6
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Қызылорда,,104.5
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,136.9
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,182.0
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,203.7
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,211.1
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,214.0
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,225.3
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,216.4
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,236.5
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Маңғыстау,,236.1
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,77.5
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,106.5
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,123.8
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,133.0
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,145.4
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,155.0
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Оңтүстік Қазақстан,,158.7
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,57.8
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,70.2
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,76.6
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,83.3
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,91.8
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,93.6
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,97.7
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,88.6
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодар,,90.4
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,40.0
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,46.0
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,46.1
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,49.3
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,49.9
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,49.7
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,48.2
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,51.4
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Солтүстік Қазақстан,,51.5
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Түркістан,,71.0
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,327.1
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,417.9
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,476.6
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,553.3
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,595.1
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,598.3
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,581.9
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,600.2
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шығыс Қазақстан,,627.9
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,66.7
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,97.2
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,112.6
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,124.1
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,136.7
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,142.5
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,142.6
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Нұр-Сұлтан қаласы,,153.1
2010,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,142.4
2011,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,155.6
2012,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,168.3
2013,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,194.4
2014,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,216.8
2015,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,232.1
2016,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,252.2
2017,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,254.5
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Алматы қаласы,,255.7
2018,млн.тонна,перевезено грузов автомобильным  и городским  электрическим транспортом,Шымкент қаласы,,116.3
2010,тонн,әуе көлікпен тасымалданған жүктер,,,28869.7
2011,тонн,әуе көлікпен тасымалданған жүктер,,,31554.9
2012,тонн,әуе көлікпен тасымалданған жүктер,,,21954.2
2013,тонн,әуе көлікпен тасымалданған жүктер,,,23873.5
2014,тонн,әуе көлікпен тасымалданған жүктер,,,19082.4
2015,тонн,әуе көлікпен тасымалданған жүктер,,,17178.2
2016,тонн,әуе көлікпен тасымалданған жүктер,,,18015.9
2017,тонн,әуе көлікпен тасымалданған жүктер,,,22449.9
2018,тонн,әуе көлікпен тасымалданған жүктер,,,29135.5
2012,тонн,,Батыс Қазақстан,KZ07,183.0
2013,тонн,,Батыс Қазақстан,KZ07,227.2
2014,тонн,,Батыс Қазақстан,KZ07,239.4
2015,тонн,,Батыс Қазақстан,KZ07,131.0
2018,тонн,,Батыс Қазақстан,KZ07,793.0
2010,тонн,,Қарағанды,KZ12,9.2
2011,тонн,,Қарағанды,KZ12,6.6
2010,тонн,,Оңтүстік Қазақстан,KZ10,737.0
2011,тонн,,Оңтүстік Қазақстан,KZ10,583.0
2012,тонн,,Оңтүстік Қазақстан,KZ10,768.0
2010,тонн,,Шығыс Қазақстан,KZ15,32.5
2011,тонн,,Шығыс Қазақстан,KZ15,44.0
2012,тонн,,Шығыс Қазақстан,KZ15,5.8
2013,тонн,,Шығыс Қазақстан,KZ15,1062.0
2014,тонн,,Шығыс Қазақстан,KZ15,978.0
2010,тонн,,Алматы қаласы,KZ02,28091.0
2011,тонн,,Алматы қаласы,KZ02,30921.3
2012,тонн,,Алматы қаласы,KZ02,20997.4
2013,тонн,,Алматы қаласы,KZ02,22584.3
2014,тонн,,Алматы қаласы,KZ02,17865.0
2015,тонн,,Алматы қаласы,KZ02,15956.2
2016,тонн,,Алматы қаласы,KZ02,16810.9
2017,тонн,,Алматы қаласы,KZ02,20345.2
2018,тонн,,Алматы қаласы,KZ02,25651.2
2018,тонн,,Шымкент қаласы,KZ18,2691.3
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,3379.2
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,4131.3
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,4512.0
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,4985.6
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,5434.6
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,5922.8
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,6021.7
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,7363.7
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,,,7858.5
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,29.3
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,27.8
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,30.0
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,25.5
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,28.5
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,25.2
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,16.2
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,10.6
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Алматы,,7.6
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,4.7
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.8
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.4
2015,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,4.3
2016,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.1
2017,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.16
2018,млн.адам,әуе көлікпен тасымалданған жолаушылар,Атырау,,0.01
2010,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,18.8
2011,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,12.2
2012,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,59.7
2013,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,10.0
2014,млн.адам,әуе көлікпен тасымалданған жолаушылар,Қарағанды,,8.5
