Year,Units,Интернет жылдамдығы,Өңірлер,GeoCode,Value
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,50.1
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,4.5089999999999995
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,83.14399999999998
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,76.887
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,79.564
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,104.59700000000001
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,123.23
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы,,129.1
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,40.305
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,45.943999999999996
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,44.67
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,42.468999999999994
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,44.698
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,49.006
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Атырау,,53.4
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,26.38
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,25.82
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,21.539
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,18.886
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,22.555999999999997
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,26.275
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Батыс Қазақстан,,26.9
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,24.340999999999998
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,31.026999999999997
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,30.144000000000002
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,26.91800000000001
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,37.131
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,41.705
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Жамбыл,,45.4
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,26.67
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,101.539
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,86.92299999999999
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,71.503
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,74.639
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,83.6
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қарағанды,,81.1
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,51.258
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,79.25
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,64.502
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,45.71100000000001
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,45.978
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,66.35
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қостанай,,70.0
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,15.625
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,21.660999999999998
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,20.869
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,19.32
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,24.836
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,33.868
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Қызылорда,,38.3
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,18.07
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,29.901
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,26.836
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,27.482
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,21.511
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,31.381999999999998
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Маңғыстау,,32.5
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Оңтүстік Қазақстан,,24.886999999999997
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Оңтүстік Қазақстан,,0.986
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Оңтүстік Қазақстан,,47.927
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Оңтүстік Қазақстан,,42.793
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Оңтүстік Қазақстан,,60.038999999999994
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Оңтүстік Қазақстан,,71.542
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,45.06399999999999
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,50.015
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,49.849
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,44.248999999999995
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,44.144
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,48.563
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Павлодар,,86.3
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,27.405
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,33.82
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,37.548
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,37.91
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,39.694
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,51.51600000000001
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Солтүстік Қазақстан,,55.8
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Түркістан,,50.1
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,71.755
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,66.389
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,65.182
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,58.898
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,53.027
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,77.738
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шығыс Қазақстан,,84.8
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,75.249
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,78.957
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,44.63399999999999
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,44.251999999999995
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,58.45399999999999
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,50.018
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Нұр-Сұлтан қаласы,,565.4
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,195.933
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,176.199
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,165.75799999999995
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,112.206
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,95.85600000000001
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,109.51299999999999
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Алматы қаласы,,131.1
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Шымкент қаласы,,27.1
2012,мың бірлік,выше 10 Мбит/сек,,,335.6
2013,мың бірлік,выше 10 Мбит/сек,,,663.34
2014,мың бірлік,выше 10 Мбит/сек,,,857.038
2015,мың бірлік,выше 10 Мбит/сек,,,1010.56
2016,мың бірлік,выше 10 Мбит/сек,,,1226.9080000000001
2017,мың бірлік,выше 10 Мбит/сек,,,1424.394
2018,мың бірлік,выше 10 Мбит/сек,,,696.5
2012,мың бірлік,выше 10 Мбит/сек,Ақмола,,6.3
2013,мың бірлік,выше 10 Мбит/сек,Ақмола,,11.581
2014,мың бірлік,выше 10 Мбит/сек,Ақмола,,16.756
2015,мың бірлік,выше 10 Мбит/сек,Ақмола,,22.259
2016,мың бірлік,выше 10 Мбит/сек,Ақмола,,24.701999999999998
2017,мың бірлік,выше 10 Мбит/сек,Ақмола,,26.581
2018,мың бірлік,выше 10 Мбит/сек,Ақмола,,28.4
2012,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,2.1
2013,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,9.49
2014,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,16.688
2015,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,20.535999999999998
2016,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,22.365
2017,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,28.419
2018,мың бірлік,выше 10 Мбит/сек,Ақтөбе,,29.8
2012,мың бірлік,выше 10 Мбит/сек,Алматы,,5.6
2013,мың бірлік,выше 10 Мбит/сек,Алматы,,12.127
2014,мың бірлік,выше 10 Мбит/сек,Алматы,,22.461
2015,мың бірлік,выше 10 Мбит/сек,Алматы,,26.574
2016,мың бірлік,выше 10 Мбит/сек,Алматы,,26.20300000000001
2017,мың бірлік,выше 10 Мбит/сек,Алматы,,32.13
2018,мың бірлік,выше 10 Мбит/сек,Алматы,,33.5
