Year,Units,Пол,Регионы,Местность,Value
2012,на 1000 родившихся,мальчики,Актюбинская,город,10.962041884816752
2012,на 1000 родившихся,мальчики,Алматинская,город,9.764309764309763
2012,на 1000 родившихся,мальчики,Атырауская,город,13.116346854505709
2012,на 1000 родившихся,мальчики,Западно-Казахстанская,город,7.896221094190638
2012,на 1000 родившихся,мальчики,Жамбылская,город,8.771929824561402
2012,на 1000 родившихся,мальчики,Карагандинская,город,8.384685321749672
2012,на 1000 родившихся,мальчики,Костанайская,город,14.309301045679693
2012,на 1000 родившихся,мальчики,Кызылординская,город,13.187718936740161
2012,на 1000 родившихся,мальчики,Мангистауская,город,8.011653313911145
2012,на 1000 родившихся,мальчики,Южно-Казахстанская,город,12.642071354768127
2012,на 1000 родившихся,мальчики,Павлодарская,город,8.8339222614841
2012,на 1000 родившихся,мальчики,Северо-Казахстанская,город,7.299270072992701
2012,на 1000 родившихся,мальчики,Восточно-Казахстанская,город,14.43355119825708
2012,на 1000 родившихся,мальчики,г_Нур-Султан,город,8.117045796171961
2012,на 1000 родившихся,мальчики,г_Алматы,город,10.747259088286208
2012,на 1000 родившихся,мальчики,,село,9.557931748133477
2012,на 1000 родившихся,мальчики,Акмолинская,село,4.841149773071104
2012,на 1000 родившихся,мальчики,Актюбинская,село,5.681818181818182
