Year,Units,Регионы,Value
2017,на 100 000 родившихся живыми,Атырауская,18.404907975460123
2017,на 100 000 родившихся живыми,Западно-Казахстанская,7.76457799518596
2017,на 100 000 родившихся живыми,Жамбылская,12.22593528404923
2017,на 100 000 родившихся живыми,Карагандинская,13.226346882990914
2017,на 100 000 родившихся живыми,Костанайская,17.08233686368295
2017,на 100 000 родившихся живыми,Кызылординская,0.0
2017,на 100 000 родившихся живыми,Мангистауская,10.298130889243602
2017,на 100 000 родившихся живыми,Южно-Казахстанская,16.798252981689902
2017,на 100 000 родившихся живыми,Павлодарская,28.498147620404676
2017,на 100 000 родившихся живыми,Северо-Казахстанская,18.335887260487468
2017,на 100 000 родившихся живыми,Восточно-Казахстанская,18.368846436443796
2017,на 100 000 родившихся живыми,г.Нур-Султан,6.503219093451259
2017,на 100 000 родившихся живыми,г.Алматы,14.729709824716453
2018,на 100 000 родившихся живыми,,14.0
2018,на 100 000 родившихся живыми,Акмолинская,35.9
2018,на 100 000 родившихся живыми,Актюбинская,5.1
2018,на 100 000 родившихся живыми,Алматинская,14.8
2018,на 100 000 родившихся живыми,Атырауская,5.9
2018,на 100 000 родившихся живыми,Западно-Казахстанская,7.6
2018,на 100 000 родившихся живыми,Жамбылская,8.0
2018,на 100 000 родившихся живыми,Карагандинская,26.2
2018,на 100 000 родившихся живыми,Костанайская,8.7
2018,на 100 000 родившихся живыми,Кызылординская,10.7
2018,на 100 000 родившихся живыми,Мангистауская,25.1
2018,на 100 000 родившихся живыми,Павлодарская,8.5
2018,на 100 000 родившихся живыми,Северо-Казахстанская,14.8
2018,на 100 000 родившихся живыми,Туркестанская,10.3
2018,на 100 000 родившихся живыми,Восточно-Казахстанская,14.0
2018,на 100 000 родившихся живыми,г.Нур-Султан,29.0
2018,на 100 000 родившихся живыми,г.Алматы,8.9
2018,на 100 000 родившихся живыми,г.Шымкент,19.6
2019,на 100 000 родившихся живыми,,13.7
2019,на 100 000 родившихся живыми,Акмолинская,17.2
2019,на 100 000 родившихся живыми,Актюбинская,4.9
2019,на 100 000 родившихся живыми,Алматинская,25.4
2019,на 100 000 родившихся живыми,Атырауская,17.8
2019,на 100 000 родившихся живыми,Западно-Казахстанская,7.6
2019,на 100 000 родившихся живыми,Жамбылская,11.8
2019,на 100 000 родившихся живыми,Карагандинская,39.5
2019,на 100 000 родившихся живыми,Костанайская,26.6
2019,на 100 000 родившихся живыми,Кызылординская,5.3
2019,на 100 000 родившихся живыми,Мангистауская,4.9
2019,на 100 000 родившихся живыми,Павлодарская,0.0
2019,на 100 000 родившихся живыми,Северо-Казахстанская,0.0
2019,на 100 000 родившихся живыми,Туркестанская,9.3
2019,на 100 000 родившихся живыми,Восточно-Казахстанская,23.4
2019,на 100 000 родившихся живыми,г.Нур-Султан,3.3
